id,slices_num,max,min
Case176.hdf5,15,2274,0
Case171.hdf5,12,2482,0
Case155.hdf5,12,2327,0
Case112.hdf5,15,2527,0
Case98.hdf5,12,2656,0
Case193.hdf5,12,2494,0
Case148.hdf5,15,2420,0
Case180.hdf5,12,2341,0
Case75.hdf5,12,2732,0
Case26.hdf5,12,2897,0
Case185.hdf5,12,2284,0
Case153.hdf5,12,2534,0
Case6.hdf5,12,2431,0
Case71.hdf5,15,2694,0
Case39.hdf5,12,2420,0
Case143.hdf5,12,2730,0
Case179.hdf5,12,2403,0
Case187.hdf5,15,2372,0
Case199.hdf5,12,2443,0
Case77.hdf5,12,2185,0
Case139.hdf5,12,2306,0
Case100.hdf5,12,2371,0
Case64.hdf5,12,2345,0
Case73.hdf5,12,2256,0
Case203.hdf5,12,2354,0
Case134.hdf5,12,2602,0
Case56.hdf5,12,2887,0
Case120.hdf5,15,2294,0
Case106.hdf5,12,2508,0
Case110.hdf5,12,2310,0
Case67.hdf5,12,2512,0
Case29.hdf5,12,2382,0
Case40.hdf5,12,2163,0
Case205.hdf5,12,2361,0
Case127.hdf5,12,2428,0
Case116.hdf5,12,2413,0
Case162.hdf5,12,2919,0
Case105.hdf5,15,2478,0
Case200.hdf5,12,2653,0
Case173.hdf5,12,2448,0
Case10.hdf5,15,2326,0
Case61.hdf5,15,2548,0
Case160.hdf5,12,2266,0
Case78.hdf5,12,2300,0
Case141.hdf5,12,2678,0
Case36.hdf5,12,2329,0
Case196.hdf5,15,2514,0
Case118.hdf5,12,2241,0
Case140.hdf5,12,2387,0
Case20.hdf5,15,2652,0
Case19.hdf5,15,2757,0
Case46.hdf5,15,2358,0
Case133.hdf5,12,2349,0
Case53.hdf5,15,2428,0
Case159.hdf5,12,2381,0
Case58.hdf5,12,2267,0
Case37.hdf5,12,2494,0
Case91.hdf5,12,2385,0
Case149.hdf5,12,2311,0
Case7.hdf5,12,2445,0
Case169.hdf5,12,2357,0
Case204.hdf5,12,2411,0
Case166.hdf5,12,2470,0
Case66.hdf5,12,2383,0
Case92.hdf5,12,2392,0
Case129.hdf5,12,2401,0
Case101.hdf5,12,2509,0
Case108.hdf5,15,2605,0
Case16.hdf5,12,3929,0
Case172.hdf5,15,2897,0
Case137.hdf5,12,2350,0
Case121.hdf5,12,2746,0
Case113.hdf5,12,2307,0
Case128.hdf5,12,2618,0
Case210.hdf5,15,2368,0
Case103.hdf5,12,2350,0
Case14.hdf5,12,2545,0
Case54.hdf5,12,2333,0
Case146.hdf5,12,2635,0
Case186.hdf5,12,2411,0
Case89.hdf5,12,2512,0
Case138.hdf5,12,2291,0
Case191.hdf5,12,2263,0
Case43.hdf5,12,2491,0
Case48.hdf5,12,2779,0
Case197.hdf5,12,3031,0
Case212.hdf5,12,2286,0
Case194.hdf5,12,2458,0
Case69.hdf5,15,2607,0
Case168.hdf5,15,2347,0
Case174.hdf5,12,2382,0
Case107.hdf5,15,2416,0
Case167.hdf5,12,2532,0
Case184.hdf5,12,2857,0
Case41.hdf5,12,2371,0
Case122.hdf5,12,2377,0
Case82.hdf5,15,2374,0
Case158.hdf5,15,2305,0
Case23.hdf5,12,2266,0
Case25.hdf5,12,2361,0
Case104.hdf5,12,2501,0
Case84.hdf5,12,2408,0
Case22.hdf5,12,2349,0
Case24.hdf5,12,2263,0
Case8.hdf5,12,2564,0
Case18.hdf5,12,2994,0
Case213.hdf5,12,2407,0
Case181.hdf5,12,2377,0
Case68.hdf5,12,2323,0
Case13.hdf5,12,2424,0
Case38.hdf5,12,2462,0
Case2.hdf5,15,2527,0
Case5.hdf5,12,2326,0
Case115.hdf5,15,2456,0
Case52.hdf5,12,2215,0
Case132.hdf5,12,2279,0
Case154.hdf5,12,2279,0
Case142.hdf5,12,3002,0
Case182.hdf5,12,2271,0
Case85.hdf5,12,2700,0
Case215.hdf5,15,2342,0
Case188.hdf5,15,2394,0
Case34.hdf5,12,2328,0
Case9.hdf5,15,2649,0
Case111.hdf5,12,2526,0
Case198.hdf5,12,2698,0
Case144.hdf5,12,2597,0
Case12.hdf5,12,2586,0
Case33.hdf5,12,2494,0
Case79.hdf5,15,2617,0
Case59.hdf5,12,2367,0
Case81.hdf5,12,2298,0
Case165.hdf5,12,2607,0
Case152.hdf5,12,2583,0
Case17.hdf5,12,2295,0
Case150.hdf5,12,2137,0
Case31.hdf5,12,2330,0
Case164.hdf5,15,2370,0
Case83.hdf5,12,2435,0
Case88.hdf5,12,2433,0
Case45.hdf5,12,2804,0
Case80.hdf5,12,2227,0
Case130.hdf5,12,2348,0
Case190.hdf5,15,2579,0
Case177.hdf5,12,2717,0
Case93.hdf5,12,2299,0
Case97.hdf5,12,2348,0
Case76.hdf5,12,2366,0
Case72.hdf5,12,2370,0
Case178.hdf5,12,2327,0
Case35.hdf5,12,2583,0
Case208.hdf5,12,2724,0
Case170.hdf5,12,2516,0
Case32.hdf5,12,2585,0
Case87.hdf5,15,2425,0
Case136.hdf5,15,2991,0
Case27.hdf5,12,2177,0
Case161.hdf5,12,2344,0
Case123.hdf5,12,2663,0
Case57.hdf5,12,2239,0
Case214.hdf5,15,2459,0
Case175.hdf5,12,2404,0
Case202.hdf5,12,2181,0
Case163.hdf5,12,2372,0
Case145.hdf5,15,2347,0
Case55.hdf5,15,2533,0
Case156.hdf5,12,2349,0
Case109.hdf5,12,2226,0
Case90.hdf5,12,2294,0
Case102.hdf5,12,2431,0
Case62.hdf5,12,2658,0
Case30.hdf5,12,2409,0
,,,
,,,
,,mean:238.902,
,,std:356.820,
